sample	chr	startpos	endpos	nMajor	nMinor
A17F-0095_CRUK_PC_0095_M5	2	166818480	167080979	11	4
A17F-0095_CRUK_PC_0095_M5	2	167081179	174810893	6	3
A17F-0095_CRUK_PC_0095_M5	2	174810929	181857449	1	0
A17F-0095_CRUK_PC_0095_M5	2	181857450	181877041	4	0
A17F-0095_CRUK_PC_0095_M5	2	181877059	189949843	1	0
A17F-0095_CRUK_PC_0095_M5	2	189949857	202531264	6	3
A17F-0095_CRUK_PC_0095_M5	2	202531544	204666946	4	0
A17F-0095_CRUK_PC_0095_M5	2	204667061	204934191	8	0
A17F-0095_CRUK_PC_0095_M5	2	204934203	206535964	4	0
A17F-0095_CRUK_PC_0095_M5	2	206535974	211088298	6	3
A17F-0095_CRUK_PC_0095_M5	2	211088371	211408622	8	3
A17F-0095_CRUK_PC_0095_M5	2	211408631	233596453	6	3
A17F-0095_CRUK_PC_0095_M5	2	233596454	236359966	2	2
A17F-0095_CRUK_PC_0095_M5	2	236360004	236415342	6	3
A17F-0095_CRUK_PC_0095_M5	2	236415374	242836786	2	2
A17F-0095_CRUK_PC_0095_M5	2	242836800	243185846	5	3
A17F-0095_CRUK_PC_0095_M5	3	60157	3586774	1	0
A17F-0095_CRUK_PC_0095_M5	3	3586833	3591219	0	0
A17F-0095_CRUK_PC_0095_M5	3	3591303	8718810	1	0
A17F-0095_CRUK_PC_0095_M5	3	8718844	8723020	0	0
A17F-0095_CRUK_PC_0095_M5	3	8723024	16239391	1	0
A17F-0095_CRUK_PC_0095_M5	3	16239634	16241229	0	0
A17F-0095_CRUK_PC_0095_M5	3	16241233	18832833	1	0
A17F-0095_CRUK_PC_0095_M5	3	18832883	18850837	3	1
A17F-0095_CRUK_PC_0095_M5	3	18850843	19290310	1	0
A17F-0095_CRUK_PC_0095_M5	3	19290347	19309818	0	0
A17F-0095_CRUK_PC_0095_M5	3	19309855	19715586	1	0
A17F-0095_CRUK_PC_0095_M5	3	19715592	19750944	0	0
A17F-0095_CRUK_PC_0095_M5	3	19751104	20479567	1	0
A17F-0095_CRUK_PC_0095_M5	3	20479569	20771015	0	0
A17F-0095_CRUK_PC_0095_M5	3	20771019	22559374	1	0
A17F-0095_CRUK_PC_0095_M5	3	22559532	22612851	0	0
A17F-0095_CRUK_PC_0095_M5	3	22612903	23489038	1	0
A17F-0095_CRUK_PC_0095_M5	3	23489075	23500788	4	0
A17F-0095_CRUK_PC_0095_M5	3	23500919	32301352	1	0
A17F-0095_CRUK_PC_0095_M5	3	32301422	62125812	2	2
A17F-0095_CRUK_PC_0095_M5	3	62125898	62182812	6	3
A17F-0095_CRUK_PC_0095_M5	3	62182948	82350784	2	2
A17F-0095_CRUK_PC_0095_M5	3	82350854	110666633	3	2
A17F-0095_CRUK_PC_0095_M5	3	110666758	110799259	6	3
A17F-0095_CRUK_PC_0095_M5	3	110799303	122260383	2	2
A17F-0095_CRUK_PC_0095_M5	3	122260432	123416553	6	3
A17F-0095_CRUK_PC_0095_M5	3	123416637	143253430	2	2
A17F-0095_CRUK_PC_0095_M5	3	143253515	143335954	1	0
A17F-0095_CRUK_PC_0095_M5	3	143336033	172202136	2	2
A17F-0095_CRUK_PC_0095_M5	3	172202167	172402774	6	3
A17F-0095_CRUK_PC_0095_M5	3	172402783	172429764	19	5
A17F-0095_CRUK_PC_0095_M5	3	172429872	184486732	6	3
A17F-0095_CRUK_PC_0095_M5	3	184486780	184542046	19	5
A17F-0095_CRUK_PC_0095_M5	3	184542070	185667048	6	3
A17F-0095_CRUK_PC_0095_M5	3	185667080	197917378	2	2
A17F-0095_CRUK_PC_0095_M5	4	10240	680599	3	2
A17F-0095_CRUK_PC_0095_M5	4	680609	707811	6	3
A17F-0095_CRUK_PC_0095_M5	4	707851	4380143	2	2
A17F-0095_CRUK_PC_0095_M5	4	4380185	4997965	6	3
A17F-0095_CRUK_PC_0095_M5	4	4997989	26421152	2	2
A17F-0095_CRUK_PC_0095_M5	4	26421197	26463573	9	0
A17F-0095_CRUK_PC_0095_M5	4	26463640	54176401	2	2
A17F-0095_CRUK_PC_0095_M5	4	54176474	54352263	6	3
A17F-0095_CRUK_PC_0095_M5	4	54352325	54535134	11	4
A17F-0095_CRUK_PC_0095_M5	4	54535155	55035638	6	3
A17F-0095_CRUK_PC_0095_M5	4	55035646	64998847	2	2
A17F-0095_CRUK_PC_0095_M5	4	64998890	65611283	6	3
A17F-0095_CRUK_PC_0095_M5	4	65611310	78207580	3	2
A17F-0095_CRUK_PC_0095_M5	4	78207581	106342901	2	2
A17F-0095_CRUK_PC_0095_M5	4	106342919	106390734	6	3
A17F-0095_CRUK_PC_0095_M5	4	106390913	156564701	2	2
A17F-0095_CRUK_PC_0095_M5	4	156564760	156636582	6	3
A17F-0095_CRUK_PC_0095_M5	4	156636622	166428722	3	2
A17F-0095_CRUK_PC_0095_M5	4	166428749	171290568	1	0
A17F-0095_CRUK_PC_0095_M5	4	171290594	174746040	3	2
A17F-0095_CRUK_PC_0095_M5	4	174746106	187093803	1	0
A17F-0095_CRUK_PC_0095_M5	4	187093804	187098341	0	0
A17F-0095_CRUK_PC_0095_M5	4	187098533	190192103	1	0
A17F-0095_CRUK_PC_0095_M5	4	190192122	190200550	0	0
A17F-0095_CRUK_PC_0095_M5	4	190201475	191043227	1	0
A17F-0095_CRUK_PC_0095_M5	5	11940	1737911	6	3
A17F-0095_CRUK_PC_0095_M5	5	1737942	6657494	2	2
A17F-0095_CRUK_PC_0095_M5	5	6657530	7463407	6	3
A17F-0095_CRUK_PC_0095_M5	5	7463456	18256321	2	2
A17F-0095_CRUK_PC_0095_M5	5	18256350	19856923	6	3
A17F-0095_CRUK_PC_0095_M5	5	19856955	28919185	2	2
A17F-0095_CRUK_PC_0095_M5	5	28919259	28934292	7	4
A17F-0095_CRUK_PC_0095_M5	5	28934294	34785038	3	2
A17F-0095_CRUK_PC_0095_M5	5	34785122	54719326	2	2
A17F-0095_CRUK_PC_0095_M5	5	54719379	54811439	1	0
A17F-0095_CRUK_PC_0095_M5	5	54811739	54820965	0	0
A17F-0095_CRUK_PC_0095_M5	5	54820967	58229195	1	0
A17F-0095_CRUK_PC_0095_M5	5	58229227	58634225	5	3
A17F-0095_CRUK_PC_0095_M5	5	58634279	59360254	2	2
A17F-0095_CRUK_PC_0095_M5	5	59360282	59411475	6	3
A17F-0095_CRUK_PC_0095_M5	5	59411487	75581962	2	2
A17F-0095_CRUK_PC_0095_M5	5	75581965	76962274	6	3
A17F-0095_CRUK_PC_0095_M5	5	76962294	90391288	2	2
A17F-0095_CRUK_PC_0095_M5	5	90391303	90666728	6	3
A17F-0095_CRUK_PC_0095_M5	5	90666811	126806945	2	2
A17F-0095_CRUK_PC_0095_M5	5	126806982	126873303	9	0
A17F-0095_CRUK_PC_0095_M5	5	126873530	146964898	2	2
A17F-0095_CRUK_PC_0095_M5	5	146964940	156036987	6	3
A17F-0095_CRUK_PC_0095_M5	5	156037052	156238582	7	7
A17F-0095_CRUK_PC_0095_M5	5	156238635	158101202	6	3
A17F-0095_CRUK_PC_0095_M5	5	158101378	159198337	16	4
A17F-0095_CRUK_PC_0095_M5	5	159199338	159236779	31	5
A17F-0095_CRUK_PC_0095_M5	5	159236813	159622286	16	4
A17F-0095_CRUK_PC_0095_M5	5	159622419	173569376	6	3
A17F-0095_CRUK_PC_0095_M5	5	173569396	174655516	2	2
A17F-0095_CRUK_PC_0095_M5	5	174655530	175327680	6	3
A17F-0095_CRUK_PC_0095_M5	5	175327687	178368552	2	2
A17F-0095_CRUK_PC_0095_M5	5	178369213	179457898	5	3
A17F-0095_CRUK_PC_0095_M5	5	179457903	180789593	2	2
A17F-0095_CRUK_PC_0095_M5	6	202331	256537	1	0
A17F-0095_CRUK_PC_0095_M5	6	256558	382374	2	0
A17F-0095_CRUK_PC_0095_M5	6	382500	8339514	1	0
A17F-0095_CRUK_PC_0095_M5	6	8339516	17635410	6	3
A17F-0095_CRUK_PC_0095_M5	6	17635422	17722337	11	4
A17F-0095_CRUK_PC_0095_M5	6	17722359	17808488	6	3
A17F-0095_CRUK_PC_0095_M5	6	17808494	18083102	8	7
A17F-0095_CRUK_PC_0095_M5	6	18083249	29851039	6	3
A17F-0095_CRUK_PC_0095_M5	6	29851101	29905763	4	0
A17F-0095_CRUK_PC_0095_M5	6	29905773	30586341	6	3
A17F-0095_CRUK_PC_0095_M5	6	30586448	49755355	2	2
A17F-0095_CRUK_PC_0095_M5	6	49755358	49787541	5	3
A17F-0095_CRUK_PC_0095_M5	6	49787568	65107777	2	2
A17F-0095_CRUK_PC_0095_M5	6	65108070	66522877	6	3
A17F-0095_CRUK_PC_0095_M5	6	66522887	75229041	3	2
A17F-0095_CRUK_PC_0095_M5	6	75229198	75496426	1	0
A17F-0095_CRUK_PC_0095_M5	6	75496447	75511012	4	0
A17F-0095_CRUK_PC_0095_M5	6	75511041	77097624	1	0
A17F-0095_CRUK_PC_0095_M5	6	77097643	77102679	0	0
A17F-0095_CRUK_PC_0095_M5	6	77102716	77437305	1	0
A17F-0095_CRUK_PC_0095_M5	6	77437350	77459030	0	0
A17F-0095_CRUK_PC_0095_M5	6	77459061	78967017	1	0
A17F-0095_CRUK_PC_0095_M5	6	78967131	79036605	4	0
A17F-0095_CRUK_PC_0095_M5	6	79036668	79487727	1	0
A17F-0095_CRUK_PC_0095_M5	6	79487735	79497218	4	0
A17F-0095_CRUK_PC_0095_M5	6	79497227	98092274	1	0
A17F-0095_CRUK_PC_0095_M5	6	98092313	98112058	5	0
A17F-0095_CRUK_PC_0095_M5	6	98112121	109181261	1	0
A17F-0095_CRUK_PC_0095_M5	6	109181398	116829395	2	2
A17F-0095_CRUK_PC_0095_M5	6	116829554	117362650	6	3
A17F-0095_CRUK_PC_0095_M5	6	117362856	118046362	2	2
A17F-0095_CRUK_PC_0095_M5	6	118046395	118078415	6	3
A17F-0095_CRUK_PC_0095_M5	6	118078528	137151298	2	2
A17F-0095_CRUK_PC_0095_M5	6	137151684	139990599	1	0
A17F-0095_CRUK_PC_0095_M5	6	139990600	140003813	4	0
A17F-0095_CRUK_PC_0095_M5	6	140003853	141724987	1	0
A17F-0095_CRUK_PC_0095_M5	6	141725094	141770319	4	0
A17F-0095_CRUK_PC_0095_M5	6	141770329	168333514	1	0
A17F-0095_CRUK_PC_0095_M5	6	168333540	168574151	1	1
A17F-0095_CRUK_PC_0095_M5	6	168574260	168597751	3	1
A17F-0095_CRUK_PC_0095_M5	6	168597776	170568088	1	0
A17F-0095_CRUK_PC_0095_M5	6	170568163	170579200	5	0
A17F-0095_CRUK_PC_0095_M5	6	170579275	170985833	1	0
A17F-0095_CRUK_PC_0095_M5	6	171010411	171051256	12	0
A17F-0095_CRUK_PC_0095_M5	7	31273	2838787	12	4
A17F-0095_CRUK_PC_0095_M5	7	2838826	2870379	27	6
A17F-0095_CRUK_PC_0095_M5	7	2870454	5939783	11	4
A17F-0095_CRUK_PC_0095_M5	7	5940032	5970922	3	1
A17F-0095_CRUK_PC_0095_M5	7	5970955	8792733	10	4
A17F-0095_CRUK_PC_0095_M5	7	8792814	9427299	12	8
A17F-0095_CRUK_PC_0095_M5	7	9427310	12449038	10	4
A17F-0095_CRUK_PC_0095_M5	7	12449090	33712106	6	3
A17F-0095_CRUK_PC_0095_M5	7	33712165	35503437	10	4
A17F-0095_CRUK_PC_0095_M5	7	35503445	43703502	2	2
A17F-0095_CRUK_PC_0095_M5	7	43703597	44455862	6	3
A17F-0095_CRUK_PC_0095_M5	7	44455926	45032112	2	2
A17F-0095_CRUK_PC_0095_M5	7	45032134	45058597	6	3
A17F-0095_CRUK_PC_0095_M5	7	45058756	51686316	2	2
A17F-0095_CRUK_PC_0095_M5	7	51686323	51756770	6	3
A17F-0095_CRUK_PC_0095_M5	7	51756829	54640815	2	2
A17F-0095_CRUK_PC_0095_M5	7	54640917	54694146	5	3
A17F-0095_CRUK_PC_0095_M5	7	54694176	55171653	2	2
A17F-0095_CRUK_PC_0095_M5	7	55171677	55514819	6	3
A17F-0095_CRUK_PC_0095_M5	7	55514913	74982018	2	2
A17F-0095_CRUK_PC_0095_M5	7	74982026	75893082	6	3
A17F-0095_CRUK_PC_0095_M5	7	75893392	84455339	2	2
A17F-0095_CRUK_PC_0095_M5	7	84455458	90842875	3	2
A17F-0095_CRUK_PC_0095_M5	7	90842918	90904292	8	4
A17F-0095_CRUK_PC_0095_M5	7	90904376	99984089	3	2
A17F-0095_CRUK_PC_0095_M5	7	99984096	102746305	2	2
A17F-0095_CRUK_PC_0095_M5	7	102746326	102838993	5	3
A17F-0095_CRUK_PC_0095_M5	7	102839017	111098750	2	2
A17F-0095_CRUK_PC_0095_M5	7	111098752	111231248	5	3
A17F-0095_CRUK_PC_0095_M5	7	111231366	118396035	3	2
A17F-0095_CRUK_PC_0095_M5	7	118396050	121253857	6	3
A17F-0095_CRUK_PC_0095_M5	7	121253879	134522232	3	2
A17F-0095_CRUK_PC_0095_M5	7	134522239	134739375	6	3
A17F-0095_CRUK_PC_0095_M5	7	134739498	159128550	2	2
A17F-0095_CRUK_PC_0095_M5	8	113211	249329	1	0
A17F-0095_CRUK_PC_0095_M5	8	249343	2403437	4	0
A17F-0095_CRUK_PC_0095_M5	8	2403452	6182107	1	0
A17F-0095_CRUK_PC_0095_M5	8	6182112	6183584	0	0
A17F-0095_CRUK_PC_0095_M5	8	6183592	6991734	1	0
A17F-0095_CRUK_PC_0095_M5	8	6991789	6995490	0	0
A17F-0095_CRUK_PC_0095_M5	8	6995554	7153079	1	0
A17F-0095_CRUK_PC_0095_M5	8	7153082	7155665	0	0
A17F-0095_CRUK_PC_0095_M5	8	7155701	7258209	1	0
A17F-0095_CRUK_PC_0095_M5	8	7262216	7696900	0	0
A17F-0095_CRUK_PC_0095_M5	8	7709984	7774166	2	0
A17F-0095_CRUK_PC_0095_M5	8	7774168	8088644	0	0
A17F-0095_CRUK_PC_0095_M5	8	8088671	9397539	1	0
A17F-0095_CRUK_PC_0095_M5	8	9397681	9901420	0	0
A17F-0095_CRUK_PC_0095_M5	8	9901443	17397282	1	0
A17F-0095_CRUK_PC_0095_M5	8	17397308	17881253	4	0
A17F-0095_CRUK_PC_0095_M5	8	17881571	24310805	1	0
A17F-0095_CRUK_PC_0095_M5	8	24311071	24647511	4	0
A17F-0095_CRUK_PC_0095_M5	8	24647523	24972364	1	0
A17F-0095_CRUK_PC_0095_M5	8	24972423	24991264	4	0
A17F-0095_CRUK_PC_0095_M5	8	24991341	25066818	1	0
A17F-0095_CRUK_PC_0095_M5	8	25066834	25070664	0	0
A17F-0095_CRUK_PC_0095_M5	8	25070692	25313977	1	0
A17F-0095_CRUK_PC_0095_M5	8	25314047	27341271	0	0
A17F-0095_CRUK_PC_0095_M5	8	27341280	27700645	1	0
A17F-0095_CRUK_PC_0095_M5	8	27700720	28270500	4	0
A17F-0095_CRUK_PC_0095_M5	8	28270524	37558202	1	0
A17F-0095_CRUK_PC_0095_M5	8	37558205	56710536	2	2
A17F-0095_CRUK_PC_0095_M5	8	56710561	57753514	6	3
A17F-0095_CRUK_PC_0095_M5	8	57753585	66951488	2	2
A17F-0095_CRUK_PC_0095_M5	8	66951686	67786633	6	3
A17F-0095_CRUK_PC_0095_M5	8	67786792	67791721	1	0
A17F-0095_CRUK_PC_0095_M5	8	67791778	67936802	6	3
A17F-0095_CRUK_PC_0095_M5	8	67936829	68692827	4	0
A17F-0095_CRUK_PC_0095_M5	8	68692845	94696738	6	3
A17F-0095_CRUK_PC_0095_M5	8	94696756	95022587	12	4
A17F-0095_CRUK_PC_0095_M5	8	95022635	96349324	6	3
A17F-0095_CRUK_PC_0095_M5	8	96349482	96428310	18	5
A17F-0095_CRUK_PC_0095_M5	8	96428324	103158488	6	3
A17F-0095_CRUK_PC_0095_M5	8	103158642	103211479	11	4
A17F-0095_CRUK_PC_0095_M5	8	103211714	106439464	6	3
A17F-0095_CRUK_PC_0095_M5	8	106439552	114040733	4	0
A17F-0095_CRUK_PC_0095_M5	8	114040909	123392551	5	0
A17F-0095_CRUK_PC_0095_M5	8	123392602	123596318	14	0
A17F-0095_CRUK_PC_0095_M5	8	123596351	127546325	4	0
A17F-0095_CRUK_PC_0095_M5	8	127546365	128437659	9	0
A17F-0095_CRUK_PC_0095_M5	8	128437660	128811678	22	1
A17F-0095_CRUK_PC_0095_M5	8	128811712	129090224	15	0
A17F-0095_CRUK_PC_0095_M5	8	129090241	146301295	4	0
A17F-0095_CRUK_PC_0095_M5	9	10674	75890	1	0
A17F-0095_CRUK_PC_0095_M5	9	75946	84827	0	0
A17F-0095_CRUK_PC_0095_M5	9	84832	13571341	1	0
A17F-0095_CRUK_PC_0095_M5	9	13571484	13575955	0	0
A17F-0095_CRUK_PC_0095_M5	9	13576004	24501835	1	0
A17F-0095_CRUK_PC_0095_M5	9	24501932	24519191	4	0
A17F-0095_CRUK_PC_0095_M5	9	24519195	29093231	1	0
A17F-0095_CRUK_PC_0095_M5	9	29093282	29098065	0	0
A17F-0095_CRUK_PC_0095_M5	9	29098104	35465054	1	0
A17F-0095_CRUK_PC_0095_M5	9	35465187	35494352	4	0
A17F-0095_CRUK_PC_0095_M5	9	35494385	40030444	1	0
A17F-0095_CRUK_PC_0095_M5	9	40033605	41696476	2	2
A17F-0095_CRUK_PC_0095_M5	9	41696477	42202732	1	0
A17F-0095_CRUK_PC_0095_M5	9	42203498	81764078	2	2
A17F-0095_CRUK_PC_0095_M5	9	81764115	85705999	1	0
A17F-0095_CRUK_PC_0095_M5	9	85706164	85710834	0	0
A17F-0095_CRUK_PC_0095_M5	9	85710922	90545823	1	0
A17F-0095_CRUK_PC_0095_M5	9	90545881	90573690	4	0
A17F-0095_CRUK_PC_0095_M5	9	90573752	91059449	1	0
A17F-0095_CRUK_PC_0095_M5	9	91059463	91929603	2	2
A17F-0095_CRUK_PC_0095_M5	9	91929619	92015057	6	3
A17F-0095_CRUK_PC_0095_M5	9	92015108	93648754	2	2
A17F-0095_CRUK_PC_0095_M5	9	93648759	95519084	6	3
A17F-0095_CRUK_PC_0095_M5	9	95519223	107633388	2	2
A17F-0095_CRUK_PC_0095_M5	9	107633397	107763147	6	3
A17F-0095_CRUK_PC_0095_M5	9	107763245	110215995	2	2
A17F-0095_CRUK_PC_0095_M5	9	110216008	121278821	1	0
A17F-0095_CRUK_PC_0095_M5	9	121278823	121341504	3	1
A17F-0095_CRUK_PC_0095_M5	9	121341614	123074886	1	0
A17F-0095_CRUK_PC_0095_M5	9	123075036	134317533	2	2
A17F-0095_CRUK_PC_0095_M5	9	134317545	135272957	6	3
A17F-0095_CRUK_PC_0095_M5	9	135273020	141127771	2	2
A17F-0095_CRUK_PC_0095_M5	10	60969	1422724	2	2
A17F-0095_CRUK_PC_0095_M5	10	1422761	1506675	6	3
A17F-0095_CRUK_PC_0095_M5	10	1507026	3678312	2	2
A17F-0095_CRUK_PC_0095_M5	10	3678502	3702305	1	1
A17F-0095_CRUK_PC_0095_M5	10	3702426	15336657	2	2
A17F-0095_CRUK_PC_0095_M5	10	15336691	16805597	5	3
A17F-0095_CRUK_PC_0095_M5	10	16805604	26973312	2	2
A17F-0095_CRUK_PC_0095_M5	10	26973335	27038608	6	3
A17F-0095_CRUK_PC_0095_M5	10	27038628	27561769	2	2
A17F-0095_CRUK_PC_0095_M5	10	27561956	27587874	6	3
A17F-0095_CRUK_PC_0095_M5	10	27587962	27972144	2	2
A17F-0095_CRUK_PC_0095_M5	10	27972329	28025879	6	3
A17F-0095_CRUK_PC_0095_M5	10	28026003	30625855	2	2
A17F-0095_CRUK_PC_0095_M5	10	30625890	31177699	6	3
A17F-0095_CRUK_PC_0095_M5	10	31177756	32739405	2	2
A17F-0095_CRUK_PC_0095_M5	10	32739430	32788554	5	3
A17F-0095_CRUK_PC_0095_M5	10	32788612	49741229	2	2
A17F-0095_CRUK_PC_0095_M5	10	49741350	51190208	6	3
A17F-0095_CRUK_PC_0095_M5	10	51328934	51723199	2	2
A17F-0095_CRUK_PC_0095_M5	10	51723219	71729979	6	3
A17F-0095_CRUK_PC_0095_M5	10	71729982	71760956	23	0
A17F-0095_CRUK_PC_0095_M5	10	71761001	75749923	6	3
A17F-0095_CRUK_PC_0095_M5	10	75750046	88545295	5	3
A17F-0095_CRUK_PC_0095_M5	10	88545321	88592630	13	0
A17F-0095_CRUK_PC_0095_M5	10	88592658	99393208	6	3
A17F-0095_CRUK_PC_0095_M5	10	99393234	113641426	2	2
A17F-0095_CRUK_PC_0095_M5	10	113641452	115522510	6	3
A17F-0095_CRUK_PC_0095_M5	10	115522548	120819811	2	2
A17F-0095_CRUK_PC_0095_M5	10	120819831	121470755	1	0
A17F-0095_CRUK_PC_0095_M5	10	121470757	121492667	4	0
A17F-0095_CRUK_PC_0095_M5	10	121492771	132636079	1	0
A17F-0095_CRUK_PC_0095_M5	10	132636278	132638921	0	0
A17F-0095_CRUK_PC_0095_M5	10	132638963	132909177	1	0
A17F-0095_CRUK_PC_0095_M5	10	132909290	132912822	0	0
A17F-0095_CRUK_PC_0095_M5	10	132912941	132989015	1	0
A17F-0095_CRUK_PC_0095_M5	10	132989161	132991237	0	0
A17F-0095_CRUK_PC_0095_M5	10	132991254	135523407	1	0
A17F-0095_CRUK_PC_0095_M5	11	123284	2124597	4	3
