	Chr	Position	25bp	50bp	100bp	200bp	500bp	1kb	2kb	5kb	10kb	20kb	50kb	100kb	200kb	500kb	1Mb
SNP55	1	13929350	0.76	0.54902	0.534653	0.562189	0.479042	0.443556	0.46077	0.453309	0.463254	0.453627	0.458691	0.448916	0.454143	0.453925	0.449835
SNP56	1	14249701	0.2	0.27451	0.287129	0.333333	0.443114	0.45954	0.46077	0.437912	0.428957	0.438028	0.434291	0.441716	0.431098	0.431491	0.436817
SNP57	1	14747965	0.4	0.45098	0.445545	0.447761	0.407186	0.44955	0.511244	0.476905	0.469753	0.437228	0.436831	0.431626	0.429558	0.430865	0.442468
SNP58	1	15082902	0.44	0.529412	0.514851	0.527363	0.499002	0.482517	0.465767	0.475905	0.470653	0.467377	0.47627	0.479445	0.476768	0.476867	0.468205
SNP59	1	15233899	0.28	0.333333	0.465347	0.477612	0.50499	0.508492	0.490255	0.4987	0.50365	0.503775	0.50321	0.499895	0.499343	0.495043	0.476708
SNP60	1	15284390	0.64	0.666667	0.663366	0.651741	0.640719	0.596404	0.590205	0.54929	0.538746	0.510324	0.51547	0.517895	0.509197	0.496801	0.48117
SNP61	1	15484257	0.48	0.45098	0.445545	0.457711	0.461078	0.482517	0.503248	0.5011	0.537846	0.495575	0.48331	0.490205	0.486528	0.493125	0.484401
SNP62	1	15542400	0.56	0.607843	0.514851	0.532338	0.469062	0.445554	0.466767	0.461908	0.454155	0.471326	0.470611	0.467985	0.473498	0.493817	0.484733
SNP63	1	15654698	0.64	0.647059	0.514851	0.482587	0.497006	0.484515	0.472264	0.487702	0.494451	0.468927	0.48325	0.480425	0.481298	0.481319	0.490343
SNP64	1	15940508	0.64	0.54902	0.524752	0.537313	0.467066	0.436563	0.458271	0.468706	0.476252	0.457677	0.448691	0.449896	0.455323	0.487629	0.488813
SNP65	1	16137236	0.56	0.54902	0.574257	0.472637	0.471058	0.491508	0.464268	0.475305	0.473453	0.469377	0.48537	0.490505	0.490423	0.491103	0.496363
SNP66	1	16198919	0.4	0.352941	0.465347	0.537313	0.461078	0.452547	0.41979	0.405919	0.39746	0.40628	0.429811	0.434216	0.465908	0.499195	0.494127
SNP67	1	16312599	0.36	0.411765	0.415842	0.39801	0.413174	0.457542	0.471264	0.434713	0.472653	0.490025	0.48611	0.528765	0.515062	0.515697	0.492844
SNP68	1	16546067	0.6	0.568627	0.613861	0.587065	0.54491	0.539461	0.522239	0.546691	0.518448	0.535673	0.541049	0.512865	0.506642	0.509487	0.498405
SNP69	1	17087147	0.56	0.588235	0.594059	0.59204	0.600798	0.624376	0.609195	0.580284	0.526947	0.480576	0.471571	0.471541	0.484137	0.492274	0.488152
SNP70	1	17104950	0.4	0.411765	0.455446	0.41791	0.508982	0.521479	0.524738	0.517696	0.490951	0.469527	0.465357	0.458725	0.48675	0.494043	0.489349
SNP71	1	17129003	NA	NA	NA	NA	NA	NA	NA	NA	0.451691	0.418269	0.430042	0.460411	0.472057	0.491626	0.490246
SNP72	1	17214410	0.28	0.27451	0.247525	0.278607	0.307385	0.328671	0.414793	0.455509	0.447055	0.447478	0.457491	0.481938	0.50725	0.50001	0.49395
SNP73	1	17311095	0.52	0.490196	0.465347	0.492537	0.546906	0.548452	0.56022	0.572486	0.583542	0.589371	0.572889	0.545505	0.512977	0.49705	0.494889
SNP74	1	17338105	0.76	0.745098	0.732673	0.756219	0.762475	0.728272	0.643678	0.578084	0.543446	0.530323	0.51621	0.514425	0.522392	0.501132	0.494372
SNP75	1	17539403	0.64	0.705882	0.663366	0.597015	0.560878	0.545455	0.551724	0.54909	0.536646	0.527324	0.52283	0.510035	0.498823	0.504789	0.506834
SNP76	1	17899111	0.6	0.686275	0.643564	0.567164	0.578842	0.594406	0.587706	0.583883	0.567843	0.547573	0.532989	0.532385	0.528432	0.513041	0.503368
SNP77	1	18376819	0.68	0.647059	0.574257	0.567164	0.526946	0.519481	0.51924	0.491502	0.486251	0.491425	0.48459	0.487665	0.492078	0.489143	0.496835
SNP78	1	18598897	0.64	0.568627	0.554455	0.562189	0.50499	0.492507	0.501749	0.486103	0.50175	0.497275	0.50445	0.498415	0.493848	0.487191	0.490274
SNP79	1	18798805	0.44	0.411765	0.376238	0.378109	0.371257	0.370629	0.42079	0.482703	0.494351	0.504475	0.48283	0.454755	0.475143	0.492177	0.497863
SNP80	1	18955516	0.6	0.54902	0.554455	0.492537	0.467066	0.519481	0.538231	0.541292	0.530647	0.519824	0.51297	0.503465	0.509942	0.494449	0.496623
SNP81	1	19222739	0.64	0.588235	0.60396	0.557214	0.552894	0.532468	0.511744	0.508698	0.50475	0.521774	0.544369	0.538015	0.517712	0.501565	0.491032
SNP82	1	19317583	0.04	0.235294	0.227723	0.308458	0.423154	0.416583	0.458271	0.459308	0.465553	0.450127	0.458891	0.477275	0.505557	0.484877	0.491058
SNP83	1	19536564	0.72	0.72549	0.663366	0.706468	0.716567	0.653347	0.543728	0.453709	0.426957	0.425129	0.435291	0.444176	0.450768	0.476797	0.486959
SNP84	1	19757847	0.48	0.411765	0.336634	0.39801	0.44511	0.45954	0.462269	0.452709	0.457354	0.461627	0.466331	0.477815	0.485598	0.479499	0.474412
SNP85	1	19817058	0.52	0.470588	0.455446	0.452736	0.433134	0.437562	0.457271	0.469906	0.487851	0.486876	0.48159	0.468395	0.466093	0.485895	0.472088
SNP86	1	20296547	0.6	0.529412	0.455446	0.432836	0.42515	0.464535	0.442779	0.45171	0.440556	0.472676	0.455311	0.446506	0.434808	0.459811	0.469888
SNP87	1	20556788	0.44	0.431373	0.455446	0.477612	0.481038	0.502498	0.48076	0.466707	0.443456	0.450227	0.445791	0.461245	0.483983	0.473077	0.476418
SNP88	1	20758254	0.48	0.470588	0.445545	0.467662	0.467066	0.48951	0.525237	0.517696	0.512349	0.468027	0.47561	0.483095	0.489383	0.484883	0.466265
SNP89	1	20771547	0.56	0.568627	0.554455	0.507463	0.540918	0.535465	0.51974	0.521896	0.508449	0.494525	0.47927	0.493755	0.488398	0.486315	0.46543
SNP90	1	20838871	0.68	0.568627	0.514851	0.427861	0.461078	0.468531	0.463268	0.454909	0.474353	0.449328	0.47557	0.493075	0.484323	0.493243	0.460392
SNP91	1	21069251	0.4	0.352941	0.306931	0.313433	0.351297	0.31968	0.362319	0.386723	0.389561	0.421629	0.47529	0.479695	0.472188	0.447125	0.451975
SNP92	1	21336542	0.36	0.392157	0.346535	0.293532	0.433134	0.444555	0.410295	0.367327	0.380962	0.383431	0.389712	0.389836	0.387113	0.412841	0.451116
SNP93	1	21514816	0.44	0.470588	0.425743	0.512438	0.51497	0.503497	0.488256	0.460908	0.472253	0.459527	0.456611	0.459965	0.455293	0.447511	0.459319
SNP94	1	21858365	0.6	0.607843	0.49505	0.517413	0.52495	0.492507	0.497751	0.483703	0.480352	0.503725	0.50137	0.507175	0.509242	0.488217	0.485965
SNP95	1	21975633	0.6	0.607843	0.633663	0.631841	0.620758	0.563437	0.564218	0.560288	0.574043	0.549823	0.551969	0.527495	0.499438	0.497549	0.495338
SNP96	1	22006022	0.4	0.313725	0.386139	0.412935	0.411178	0.431568	0.418791	0.423315	0.420158	0.448978	0.472451	0.473875	0.485553	0.503027	0.497955
SNP97	1	22233654	0.64	0.607843	0.613861	0.597015	0.602794	0.563437	0.549225	0.519896	0.538346	0.537423	0.546489	0.544905	0.537067	0.491197	0.497896
SNP98	1	22519247	0.32	0.254902	0.336634	0.378109	0.423154	0.453546	0.493253	0.475505	0.487551	0.473926	0.49139	0.509475	0.516497	0.489793	0.492771
SNP99	1	22737830	0.4	0.352941	0.386139	0.472637	0.479042	0.431568	0.48026	0.481504	0.49915	0.491325	0.466691	0.459175	0.457663	0.493055	0.498261
SNP100	1	22826154	0.36	0.294118	0.29703	0.318408	0.329341	0.36963	0.4008	0.406719	0.412759	0.410279	0.419772	0.446976	0.475423	0.492453	0.494387
SNP101	1	23001226	0.4	0.431373	0.366337	0.378109	0.427146	0.450549	0.496752	0.533493	0.526647	0.516624	0.49781	0.511465	0.519807	0.501449	0.483233
SNP102	1	23205630	0.56	0.588235	0.584158	0.61194	0.59481	0.589411	0.577211	0.561688	0.556544	0.534973	0.51587	0.515505	0.505437	0.481245	0.471653
SNP103	1	23497079	0.64	0.568627	0.534653	0.522388	0.439122	0.467532	0.463768	0.507499	0.479152	0.465227	0.456091	0.456825	0.452138	0.441443	0.473177
SNP104	1	23506533	0.4	0.352941	0.405941	0.393035	0.38523	0.42957	0.449275	0.484503	0.485251	0.476026	0.467111	0.461055	0.453443	0.442011	0.472609
SNP105	1	23789082	0.36	0.372549	0.485149	0.547264	0.499002	0.521479	0.475262	0.459508	0.467753	0.484826	0.48893	0.496355	0.494373	0.471429	0.461457
SNP106	1	23910321	0.52	0.529412	0.49505	0.472637	0.433134	0.407592	0.446277	0.481504	0.483252	0.477526	0.48595	0.490395	0.491248	0.482803	0.465915
SNP107	1	24164440	0.64	0.627451	0.544554	0.552239	0.546906	0.528472	0.514743	0.467906	0.457854	0.431578	0.449771	0.478025	0.473658	0.469971	0.477174
SNP108	1	24210679	0.48	0.588235	0.574257	0.522388	0.506986	0.488511	0.486257	0.471306	0.463054	0.464827	0.471551	0.467505	0.463663	0.472645	0.479224
SNP109	1	24266595	0.52	0.588235	0.554455	0.482587	0.487026	0.443556	0.443778	0.45131	0.459954	0.441478	0.447491	0.449236	0.454618	0.472575	0.475005
SNP110	1	24330581	0.32	0.294118	0.39604	0.40796	0.449102	0.455544	0.43928	0.441512	0.430557	0.458677	0.463231	0.445036	0.466883	0.474715	0.473332
SNP111	1	24469956	0.4	0.372549	0.366337	0.402985	0.49501	0.533467	0.533233	0.520096	0.508649	0.495175	0.49069	0.496175	0.492883	0.475253	0.46697
SNP112	1	24526161	0.52	0.54902	0.564356	0.537313	0.508982	0.470529	0.475762	0.465707	0.485451	0.485376	0.48539	0.477525	0.479768	0.470147	0.464655
SNP113	1	24704450	0.12	0.313725	0.336634	0.412935	0.46507	0.455544	0.45927	0.44791	0.454855	0.464877	0.454051	0.464725	0.459833	0.461561	0.4609
SNP114	1	25015114	0.6	0.54902	0.455446	0.452736	0.489022	0.525475	0.495252	0.484903	0.483652	0.481026	0.469771	0.462795	0.448908	0.458011	0.469566
SNP115	1	25339104	0.36	0.313725	0.405941	0.402985	0.461078	0.496503	0.514743	0.504299	0.526647	0.530873	0.530949	0.522745	0.522107	0.480149	0.465569
SNP116	1	25646945	0.56	0.431373	0.465347	0.39801	0.403194	0.46953	0.462269	0.44831	0.458854	0.451077	0.455891	0.454305	0.457578	0.463547	0.482544
SNP117	1	25845165	0.56	0.54902	0.445545	0.427861	0.493014	0.51049	0.532234	0.513897	0.511649	0.485726	0.48965	0.483655	0.473573	0.470645	0.476637
SNP118	1	25966532	0.2	0.196078	0.277228	0.318408	0.343313	0.350649	0.361319	0.370926	0.40436	0.423879	0.462851	0.466125	0.487293	0.481853	0.473794
SNP119	1	26161879	0.44	0.45098	0.475248	0.452736	0.453094	0.447552	0.437281	0.423515	0.427257	0.430878	0.468931	0.497185	0.499093	0.487491	0.481508
SNP120	1	26280903	0.4	0.392157	0.465347	0.457711	0.449102	0.492507	0.497751	0.474105	0.469553	0.465827	0.459431	0.465755	0.488438	0.490853	0.486485
SNP121	1	26337510	0.64	0.568627	0.544554	0.577114	0.508982	0.514486	0.508246	0.4997	0.493251	0.493575	0.50433	0.496605	0.481163	0.486253	0.489704
SNP122	1	26352498	0.56	0.588235	0.524752	0.472637	0.477046	0.461538	0.489755	0.5007	0.544446	0.544373	0.527029	0.502125	0.478968	0.484181	0.489364
SNP123	1	26532746	0.64	0.54902	0.554455	0.472637	0.49501	0.503497	0.487756	0.492701	0.494051	0.489826	0.50229	0.497415	0.488728	0.488377	0.48655
SNP124	1	26819046	0.6	0.568627	0.594059	0.482587	0.530938	0.524476	0.493253	0.495701	0.485251	0.496375	0.48423	0.483065	0.483853	0.480235	0.485488
SNP125	1	27439342	0.64	0.568627	0.475248	0.492537	0.491018	0.509491	0.517741	0.523495	0.530847	0.532723	0.52379	0.511905	0.495233	0.494119	0.491727
SNP126	1	27790038	0.6	0.607843	0.623762	0.547264	0.463074	0.446553	0.422289	0.430114	0.426357	0.431478	0.428451	0.447896	0.497373	0.497317	0.488305
SNP127	1	27873526	0.44	0.529412	0.534653	0.497512	0.552894	0.583417	0.583708	0.587682	0.59804	0.565522	0.564309	0.545415	0.516242	0.495007	0.480386
SNP128	1	27931440	0.48	0.54902	0.633663	0.597015	0.55489	0.555445	0.590205	0.59788	0.571443	0.557022	0.539309	0.538515	0.522502	0.485575	0.473745
SNP129	1	28075584	0.32	0.294118	0.306931	0.343284	0.341317	0.410589	0.449775	0.433113	0.429857	0.439628	0.441711	0.435186	0.442248	0.483701	0.471225
SNP130	1	28188852	0.48	0.529412	0.544554	0.587065	0.588822	0.515485	0.534233	0.511898	0.517248	0.536573	0.51335	0.473145	0.463508	0.449219	0.468049
SNP131	1	28340580	0.24	0.352941	0.39604	0.452736	0.471058	0.44955	0.421289	0.389522	0.388961	0.39293	0.395392	0.405316	0.428703	0.447737	0.461196
SNP132	1	28792900	0.6	0.431373	0.415842	0.40796	0.46507	0.444555	0.449275	0.439112	0.431857	0.431778	0.436411	0.434136	0.449588	0.459821	0.454089
SNP133	1	29342190	0.12	0.294118	0.257426	0.273632	0.361277	0.38961	0.413293	0.387323	0.386661	0.39203	0.393452	0.398786	0.404803	0.457085	0.468616
SNP134	1	29467151	0.6	0.54902	0.544554	0.477612	0.479042	0.495504	0.486257	0.472905	0.482952	0.501525	0.49897	0.471265	0.458083	0.457737	0.467841
SNP135	1	29582868	0.48	0.470588	0.455446	0.452736	0.497006	0.498501	0.509245	0.527495	0.544846	0.505475	0.50435	0.497145	0.490433	0.472475	0.468478
SNP136	1	30490508	0.44	0.431373	0.356436	0.38806	0.363273	0.363636	0.354323	0.386523	0.418958	0.448728	0.463571	0.463785	0.485113	0.474281	0.477415
SNP137	1	30946575	0.56	0.529412	0.465347	0.432836	0.419162	0.440559	0.482259	0.5011	0.509449	0.513674	0.49045	0.471795	0.474053	0.481431	0.483011
SNP138	1	30997768	0.72	0.686275	0.643564	0.626866	0.530938	0.561439	0.550225	0.537093	0.50205	0.480276	0.47853	0.464025	0.458158	0.483883	0.480356
SNP139	1	31067347	0.12	0.27451	0.356436	0.38806	0.433134	0.396603	0.369315	0.372126	0.420558	0.459127	0.460051	0.444446	0.470153	0.488103	0.476835
SNP140	1	31101268	0.36	0.431373	0.49505	0.447761	0.512974	0.506494	0.474263	0.458508	0.432357	0.458427	0.48207	0.476385	0.479043	0.491403	0.474892
SNP141	1	31485480	0.4	0.411765	0.376238	0.298507	0.327345	0.343656	0.363318	0.392122	0.388761	0.389381	0.396012	0.408366	0.426378	0.472741	0.471171
SNP142	1	31697751	0.56	0.588235	0.594059	0.557214	0.546906	0.507493	0.516742	0.513297	0.511949	0.509625	0.49701	0.484425	0.468978	0.455415	0.475939
SNP143	1	31842789	0.32	0.333333	0.455446	0.497512	0.44511	0.458541	0.467766	0.490302	0.50315	0.486526	0.466391	0.460865	0.453438	0.466453	0.475141
SNP144	1	31892560	0.6	0.607843	0.524752	0.537313	0.512974	0.438561	0.461769	0.466507	0.493051	0.529324	0.51067	0.483795	0.458953	0.470661	0.468653
SNP145	1	31975215	0.56	0.588235	0.60396	0.61194	0.530938	0.538462	0.51924	0.525495	0.510049	0.465327	0.439491	0.432656	0.463568	0.480393	0.472972
SNP146	1	32295318	0.6	0.627451	0.613861	0.621891	0.588822	0.596404	0.577211	0.528494	0.489951	0.461227	0.458751	0.471545	0.483223	0.488401	0.478727
SNP147	1	32590466	0.32	0.352941	0.386139	0.472637	0.528942	0.456543	0.448776	0.439712	0.438956	0.446228	0.444571	0.455845	0.468083	0.471797	0.478513
SNP148	1	32868749	0.48	0.509804	0.50495	0.41791	0.453094	0.45954	0.469765	0.475105	0.462654	0.463677	0.461491	0.470485	0.474718	0.472351	0.470573
SNP149	1	33068817	0.64	0.588235	0.60396	0.517413	0.471058	0.421578	0.411294	0.40132	0.427557	0.437578	0.436571	0.440296	0.445833	0.463079	0.473471
SNP150	1	33272837	0.28	0.294118	0.346535	0.432836	0.42515	0.438561	0.441779	0.461908	0.472653	0.460527	0.445191	0.456765	0.494853	0.471505	0.471455
SNP151	1	33479309	0.36	0.431373	0.415842	0.412935	0.421158	0.43956	0.443278	0.439512	0.442356	0.442878	0.459051	0.480355	0.464763	0.470659	0.467793
SNP152	1	33697615	0.6	0.470588	0.485149	0.497512	0.491018	0.486513	0.456772	0.45111	0.464254	0.440928	0.451431	0.457065	0.483423	0.467553	0.465951
SNP153	1	33720724	0.48	0.568627	0.554455	0.532338	0.471058	0.505495	0.554223	0.55169	0.530547	0.508525	0.49303	0.474395	0.479018	0.465595	0.463572
SNP154	1	33874734	0.12	0.215686	0.29703	0.288557	0.319361	0.357642	0.369815	0.361328	0.366263	0.365482	0.406972	0.437756	0.454163	0.459643	0.458692
SNP155	1	33996203	0.24	0.294118	0.306931	0.323383	0.349301	0.366633	0.344328	0.382723	0.411759	0.440178	0.445751	0.441886	0.450538	0.453121	0.458971
SNP156	1	34083673	0.6	0.568627	0.534653	0.492537	0.536926	0.513487	0.512744	0.476505	0.473653	0.483626	0.462071	0.455755	0.447643	0.446347	0.456517
SNP157	1	34216481	0.2	0.333333	0.277228	0.303483	0.323353	0.360639	0.382309	0.390722	0.40286	0.424229	0.436711	0.448516	0.446783	0.452277	0.45593
SNP158	1	34666533	0.48	0.509804	0.584158	0.59204	0.546906	0.496503	0.456272	0.470306	0.481452	0.485976	0.474951	0.458335	0.448608	0.445471	0.44462
SNP159	1	35024385	0.44	0.372549	0.29703	0.293532	0.309381	0.361638	0.371814	0.383523	0.40326	0.414779	0.414072	0.427566	0.435203	0.447549	0.445826
SNP160	1	35227224	0.68	0.607843	0.613861	0.597015	0.602794	0.599401	0.566717	0.559688	0.539346	0.508525	0.50865	0.488685	0.469218	0.454577	0.441024
SNP161	1	35618624	0.36	0.294118	0.425743	0.462687	0.49501	0.471528	0.469765	0.452909	0.454355	0.443128	0.436311	0.429596	0.427548	0.417129	0.434607
SNP162	1	35738274	0.36	0.411765	0.415842	0.447761	0.461078	0.444555	0.392804	0.381724	0.410559	0.40953	0.410232	0.411206	0.406778	0.413751	0.43334
SNP163	1	36029549	0.64	0.54902	0.524752	0.517413	0.522954	0.547453	0.557221	0.569086	0.555944	0.532423	0.49419	0.459195	0.435083	0.430277	0.422946
