	Chr	Position	Bg02es	Bj	Gm06990	Gm12801	Gm12812	Gm12813	Gm12878	Helas3	Hepg2	Huvec	Imr90	K562	Mcf7	Nhek	Sknsh
SNP14	1	6189080	71.383537	68.357582	70.562729	68.46769	66.825661	69.09671	75.333961	75.005707	78.796524	74.621399	70.591988	71.486664	76.978981	71.50885	71.792679
SNP15	1	6199294	72.247284	69.041832	71.018669	68.787834	67.253296	69.471642	75.720261	75.402229	79.253723	75.456543	71.315102	71.946228	77.133995	71.632927	71.858231
SNP16	1	6254684	75.44751	72.238129	73.664841	70.38607	68.804634	70.845108	77.19001	77.36039	81.554169	78.893372	74.791428	74.169243	77.970497	71.925995	72.192093
SNP17	1	6334984	75.481758	74.595711	76.44558	71.62458	68.398674	70.934807	77.478661	78.805161	83.158745	80.509888	77.799538	75.70417	79.943748	72.430054	72.307457
SNP18	1	6568485	76.113464	77.295998	74.741394	70.410072	69.010689	71.382347	78.810509	78.493752	83.521072	84.383774	82.360817	78.206696	81.847557	71.48333	74.154839
SNP19	1	6669135	75.239601	74.939606	72.794609	69.243851	67.52858	69.35424	77.457146	77.666557	81.535248	81.245644	80.082008	76.873795	78.525787	70.780388	70.945503
SNP20	1	6954380	55.86544	57.568974	59.192848	60.771973	59.173748	61.475739	66.665993	62.130943	66.216576	53.076641	62.295544	64.094826	68.554695	58.595264	67.856262
SNP21	1	7148307	43.304234	51.645294	48.646008	49.221794	50.731342	51.205517	54.904713	57.414413	54.947147	36.918987	62.352276	51.989258	64.205971	50.126801	67.713844
SNP22	1	7442064	35.314602	55.867119	39.571098	42.788765	39.527149	44.351898	47.47002	70.909515	54.812687	33.301895	69.395065	43.969822	68.227158	55.393337	67.294884
SNP23	1	7775929	47.551586	55.212242	44.843227	49.98848	47.907322	52.311741	52.291985	56.596256	73.608429	52.824253	66.258629	59.927738	67.014061	60.124805	67.54512
SNP24	1	7898621	54.795162	68.3992	50.400826	54.138977	52.434082	57.785088	59.322376	63.708981	79.756447	65.283569	76.685356	63.22398	68.225311	62.543129	67.177376
SNP25	1	8098465	62.38625	75.230545	57.955784	59.56617	55.347343	62.269165	68.308517	76.729584	82.972931	80.589836	85.684456	66.851212	72.890442	70.987877	66.137695
SNP26	1	8351493	67.78241	75.265068	61.026203	59.297157	57.224705	62.978748	70.010399	72.02787	82.533897	75.836395	83.020302	60.456211	68.791473	71.09037	66.76976
SNP27	1	8555936	59.170906	71.992203	62.802994	64.690659	60.159328	66.705177	72.558281	68.298882	78.503792	65.078918	77.975441	65.396942	67.41806	57.850906	64.146446
SNP28	1	8883466	78.636223	78.667824	77.08239	72.272636	66.278328	71.325729	80.447128	78.356178	81.754059	81.102043	84.328789	76.551437	76.140602	72.021744	65.395035
SNP29	1	9083988	61.160332	72.704559	77.32682	71.092216	68.309647	72.280464	78.394966	71.116096	80.126625	74.124809	79.332344	69.043343	75.421883	70.464043	67.243217
SNP30	1	9177154	59.330795	73.11071	78.318596	71.287788	68.768112	71.743988	77.893486	72.220894	79.498749	76.066307	81.105293	64.069969	73.401794	70.15564	66.843033
SNP31	1	9352270	56.681721	74.082733	75.581154	69.469887	69.669556	69.340279	77.780922	71.991257	80.301025	79.990623	83.673546	58.724594	74.796883	70.63076	68.636574
SNP32	1	9693977	70.11377	74.029648	77.680008	69.729355	71.108818	72.291359	76.696594	70.755318	82.223679	70.300293	80.673447	72.102013	76.830978	71.704071	70.703674
SNP33	1	9730524	70.614502	73.757187	77.439613	69.228729	71.827133	72.524612	77.336586	71.384926	82.159027	70.66761	80.616714	73.126999	77.506248	71.874931	70.672699
SNP34	1	10047248	76.386742	73.570839	76.369827	70.445778	70.534569	71.099518	79.128502	74.883446	81.628242	76.374252	81.924805	79.196373	78.378792	71.91539	68.625153
SNP35	1	10296859	71.617706	73.841652	74.353065	67.560249	65.854645	69.780273	79.742645	76.150238	80.883705	74.217453	80.243324	74.345238	73.658707	70.315811	63.863544
SNP36	1	10438341	76.062904	71.747749	71.530655	67.690147	64.235291	68.502403	77.160484	74.693665	79.790207	76.433861	77.971962	74.915459	73.733482	66.54689	67.286453
SNP37	1	10451993	76.488396	71.13501	71.239349	67.718582	64.037064	68.452354	76.493187	74.666985	79.5924	76.503334	77.599052	74.93808	73.291687	65.970299	67.782898
SNP38	1	10530561	76.89016	68.824921	70.323097	66.936111	62.669277	67.972244	73.131294	73.502228	77.90947	75.024399	75.638824	75.653648	70.662849	65.095215	67.769501
SNP39	1	10709168	69.846268	66.145065	68.66156	65.788116	61.831966	67.312775	73.046494	68.596329	76.240868	67.677452	70.24437	67.586784	73.693024	67.056488	72.249725
SNP40	1	11101450	77.428864	68.376709	77.297829	71.135818	67.599472	71.436516	76.061249	76.482742	78.425835	77.129318	72.409195	76.839005	77.78582	72.246727	69.699966
SNP41	1	11182073	75.368843	67.47715	75.357224	70.153297	64.790924	68.475235	75.950218	74.666405	77.888657	74.828148	69.345894	74.940819	75.573082	70.255028	67.75486
SNP42	1	11365560	66.366585	61.147766	66.963692	66.213181	61.452854	66.314369	72.508781	66.331856	73.855019	66.539726	60.501991	72.063103	68.621193	62.852654	68.4664
SNP43	1	11577244	59.350098	53.139412	60.142025	60.23436	59.725266	62.836323	67.511917	57.86644	67.620399	56.617954	56.5201	68.071205	67.129517	57.015171	70.544495
SNP44	1	11739345	74.259209	64.944778	71.351204	67.28698	64.546959	68.254524	76.564255	74.189522	76.09584	72.389694	69.182884	77.730629	72.396164	70.448883	71.800568
SNP45	1	11805717	74.465111	69.246994	74.270874	69.342422	66.166618	70.793503	78.312508	76.641685	79.676453	76.149437	73.126595	80.193222	73.405067	71.740616	71.458839
SNP46	1	11862164	74.119354	71.467255	75.564072	70.368584	68.45771	72.32975	79.021111	77.055618	81.446579	78.060944	75.226654	81.628975	74.163277	70.759773	70.655045
SNP47	1	11871170	74.165848	71.722427	75.777138	70.502571	68.902931	72.536171	79.144096	77.11821	81.603416	78.360725	75.529243	81.823685	74.261497	70.597099	70.546333
SNP48	1	11947362	75.604637	73.303467	78.094803	71.306519	72.397202	73.650085	79.885315	78.046333	81.598137	80.643265	77.958565	83.074699	74.432617	70.627823	70.120049
SNP49	1	12050858	76.408989	74.460312	80.72245	70.837051	73.42141	73.30542	78.331963	77.524925	79.647713	80.513664	80.045509	83.867378	73.932434	71.677292	69.521576
SNP50	1	12177292	73.435936	70.937477	80.022629	73.475555	73.632576	73.236977	77.504852	76.329742	76.528816	81.063065	81.417496	83.221443	72.334877	67.887825	70.222641
SNP51	1	12202659	72.493858	69.987457	79.811928	74.005486	73.653938	73.177452	77.566551	76.120804	75.916359	81.353546	81.280663	83.007195	71.232384	67.208534	70.274017
SNP52	1	12666104	69.688332	68.739708	62.843643	60.228775	62.123169	63.666298	69.809113	72.711235	81.810097	77.197968	77.139587	79.588196	71.211609	68.225525	62.234993
SNP53	1	13541462	39.235668	19.199865	29.834856	19.743315	38.421108	25.907721	39.076729	28.612505	23.795607	25.627308	11.467968	8.860222	32.82412	41.591717	24.919388
SNP54	1	13745028	25.89296	16.392675	52.890831	42.142086	51.432514	44.681034	56.077656	16.656473	35.669933	22.151871	28.27272	43.770023	44.969147	40.007523	37.609688
SNP55	1	13929350	47.448952	26.556879	52.520638	49.510105	53.76178	54.994762	60.17807	19.407499	35.461792	23.405905	22.431492	43.06057	51.045937	55.79565	31.292837
SNP56	1	14249701	33.119442	25.60684	48.023415	46.01413	46.185703	48.352909	51.394882	15.879709	34.338955	20.42326	20.882774	44.948498	47.002781	44.858879	34.153301
SNP57	1	14747965	46.871948	29.589725	32.296577	41.12405	32.08802	32.851742	39.897316	11.851364	35.040817	16.653488	25.830187	60.983021	43.62051	57.188995	46.381363
SNP58	1	15082902	56.68198	34.79644	33.740974	48.121517	33.178322	38.481129	49.742847	22.556025	55.044743	25.189817	42.194458	60.279564	54.592098	60.152195	57.397152
SNP59	1	15233899	51.102013	42.646687	37.126778	49.127647	39.773834	44.188049	55.537617	34.655243	63.679447	36.799862	51.311111	63.641773	62.638298	64.296844	62.298355
SNP60	1	15284390	52.539906	43.866592	39.307968	48.966743	42.045147	46.394024	57.481838	40.138721	64.062729	41.506763	53.4533	62.771301	63.747284	63.411728	64.019485
SNP61	1	15484257	56.046928	55.003521	52.733711	55.139103	51.665009	57.569851	67.829185	62.259098	68.702759	60.691891	65.945229	62.82827	68.21579	63.607372	65.830734
SNP62	1	15542400	55.371445	58.998726	55.981091	57.202793	54.823364	59.908268	70.813141	67.776192	71.423988	66.858147	69.899811	65.880409	70.213188	66.343132	66.099197
SNP63	1	15654698	56.086693	65.298332	62.223591	61.592213	60.126675	64.33989	72.592728	76.584007	76.065994	76.269623	74.967522	70.038094	72.968239	69.006599	68.917076
SNP64	1	15940508	75.534698	76.227959	74.850266	69.816574	69.852005	71.667076	76.141457	78.005089	83.531853	79.366837	81.427063	79.452164	78.210815	71.567993	68.66021
SNP65	1	16137236	77.464371	75.5075	76.8181	73.516197	69.766029	72.332817	79.326866	78.634697	83.162964	82.986977	84.795158	82.471581	78.997314	71.205688	69.723526
SNP66	1	16198919	75.627617	76.763115	76.643181	72.446785	68.713028	71.688446	78.518013	76.464195	82.919075	81.385628	83.854576	82.168404	78.973534	72.108017	68.705368
SNP67	1	16312599	73.02301	74.830643	75.038391	71.497597	68.837196	71.114899	78.296989	75.890953	82.969788	81.971565	84.451691	78.51963	81.37838	73.250031	72.579521
SNP68	1	16546067	78.09568	77.093376	75.775185	70.59082	69.123268	71.360359	76.382065	78.520805	81.834343	81.707214	85.490746	78.082863	80.238556	70.945015	70.698677
SNP69	1	17087147	64.030891	55.939301	61.479725	58.200089	55.547379	62.451588	62.33337	64.460297	78.369934	58.492699	66.209274	67.878838	75.253418	68.776955	68.697861
SNP70	1	17104950	64.294373	57.350216	61.768082	58.039711	55.994663	62.361938	63.022388	64.488968	78.092361	59.065514	66.816643	67.834908	75.179131	68.650108	68.31414
SNP71	1	17129003	65.078758	59.690754	62.56081	58.012234	56.687111	62.34761	64.128105	64.931145	77.71154	60.637402	67.94149	68.213654	75.09964	68.459137	67.908699
SNP72	1	17214410	70.539238	68.56144	67.323929	60.116795	59.109562	64.251122	67.758438	70.270203	76.948181	71.890121	73.591614	72.966911	75.364838	68.77607	68.395424
SNP73	1	17311095	75.944649	73.104584	68.87085	63.035873	59.006615	66.581764	68.344315	75.887871	75.743111	80.630981	77.938126	75.052963	75.713478	70.996361	69.535606
SNP74	1	17338105	76.444061	73.44548	68.250648	63.004391	58.352177	66.245407	67.923576	76.060516	74.967323	80.293846	78.164703	73.712616	75.603493	71.429054	69.165703
SNP75	1	17539403	59.632629	73.409737	59.596962	58.152569	51.814121	58.971233	63.680519	75.735107	65.806259	60.885071	74.280701	62.26926	75.90844	69.968658	67.699234
SNP76	1	17899111	77.430908	64.142868	46.931587	57.420776	41.622059	53.430038	53.970634	77.083809	75.725121	31.629013	63.068626	55.305668	79.851776	73.159706	69.708336
SNP77	1	18376819	44.632256	37.961777	32.445671	38.895573	29.307314	35.289429	38.270531	35.909695	47.527927	18.582472	37.244446	38.506466	54.643238	39.692669	64.726997
SNP78	1	18598897	60.752888	27.294258	40.641853	38.345856	32.573372	33.816319	43.504616	30.163301	46.761223	18.152519	27.448479	38.517002	51.241665	36.841301	64.827766
SNP79	1	18798805	59.984718	34.851143	38.464073	41.049568	41.354855	38.146641	44.381638	31.146303	51.902794	22.645662	32.863018	42.445629	57.275131	41.907688	63.632866
SNP80	1	18955516	66.907898	45.172665	43.507133	47.798992	48.346752	45.889866	49.927311	40.465572	60.222778	35.035927	46.844513	48.380829	61.24929	57.093853	65.914734
SNP81	1	19222739	55.412033	70.241081	61.990116	61.352791	62.046375	59.471928	64.574135	57.904449	79.718666	63.878307	72.547119	63.381985	70.407143	71.81263	67.184799
SNP82	1	19317583	62.83947	73.314079	65.195122	63.637417	63.35218	62.691959	68.622604	63.959057	82.145668	68.778503	77.17247	66.132706	71.889229	72.391953	67.396767
SNP83	1	19536564	67.087326	70.132851	67.299347	64.424599	62.287479	64.391525	68.552521	66.422928	80.554878	73.310852	75.338387	68.878166	72.402069	70.053368	65.124062
SNP84	1	19757847	65.569214	76.801529	69.731895	66.437248	64.62442	66.885551	73.340012	68.058784	78.40274	76.173416	79.443619	71.083298	74.140129	67.166451	67.595001
SNP85	1	19817058	65.268738	77.708221	71.507973	67.659477	64.508545	67.670479	74.966537	69.000427	79.361115	76.093079	80.435165	71.062492	73.547012	66.577446	66.164703
SNP86	1	20296547	43.584862	63.830425	59.535957	57.144737	53.979179	57.2715	64.624374	60.728699	69.819489	45.809555	58.608555	58.892014	64.786873	60.327427	63.260864
SNP87	1	20556788	33.787544	52.812038	56.262867	52.419483	49.235706	52.427998	59.61874	45.454262	59.750465	38.718765	57.056461	55.079594	62.251797	63.521667	65.376274
SNP88	1	20758254	49.119484	66.288879	56.393433	51.982128	48.331123	55.254059	57.513241	60.29105	66.922379	54.149059	71.947014	56.914318	67.057999	67.927887	65.806183
SNP89	1	20771547	50.892467	67.429672	56.963966	52.428955	48.910404	55.867352	57.952572	62.135963	67.446297	55.640934	72.909615	57.460091	67.687897	68.355186	65.786613
SNP90	1	20838871	59.36425	72.669762	60.936352	56.221428	52.478062	58.930828	61.081928	70.88736	70.363274	62.80122	77.699623	60.744053	71.739021	69.610878	66.298576
SNP91	1	21069251	72.71357	69.111626	68.866264	64.151215	59.724316	65.290222	69.752869	72.477173	78.312721	75.11409	79.570709	69.866661	71.767883	66.546936	68.729324
SNP92	1	21336542	67.794243	72.614922	63.986603	60.976521	57.670918	62.408379	70.200981	71.558197	74.577652	69.87973	77.161957	66.206223	69.181847	65.422272	67.125435
SNP93	1	21514816	72.435234	76.385025	71.694656	66.579994	62.18708	66.172134	73.455566	77.725975	79.852318	79.970573	83.427071	71.335869	75.705322	72.044952	66.557487
SNP94	1	21858365	73.511276	69.785789	67.427124	65.850266	59.28083	64.408188	69.75518	69.88929	76.248154	72.673157	76.048279	74.473473	75.497444	68.102638	70.169594
SNP95	1	21975633	76.15007	71.315674	67.664528	64.446869	59.157173	65.044281	74.104332	74.552864	78.592438	78.181885	76.488914	77.822197	74.643456	71.747986	71.008469
SNP96	1	22006022	75.585564	71.778023	68.37664	64.142174	59.80302	65.363991	74.933754	74.735764	79.692825	79.342972	77.197868	78.458351	75.052406	72.053886	69.79937
SNP97	1	22233654	76.022728	74.486565	74.982529	71.356209	65.790588	68.250824	78.597969	79.51207	82.873459	82.682449	83.098358	83.400917	78.762794	70.810074	72.171791
SNP98	1	22519247	65.347458	70.189857	70.22493	66.904846	63.948051	67.071381	75.77877	64.24704	78.40313	77.585251	72.158173	75.242874	75.408585	69.966362	70.506798
SNP99	1	22737830	59.985992	56.931881	57.846622	53.85125	53.38773	57.58255	65.338722	54.394024	65.111015	60.937302	63.943848	62.702721	69.210594	56.901371	66.858932
SNP100	1	22826154	60.259056	59.752178	54.825729	53.042797	51.52103	55.185322	61.726246	54.849632	62.650246	64.753021	68.739624	59.25201	68.366127	56.890293	68.657608
SNP101	1	23001226	55.218201	65.960442	56.028355	53.812607	50.034851	53.792866	62.608173	57.660206	59.106686	77.604378	78.37561	54.832825	65.67057	57.762997	68.888428
SNP102	1	23205630	57.763035	69.31749	63.379505	59.013702	57.826462	60.059994	68.556458	69.039116	66.190643	75.071297	77.39399	62.708008	69.17276	65.304741	70.206749
SNP103	1	23497079	75.099388	77.294243	71.748978	68.000206	66.148857	68.271362	74.293175	78.74839	80.585907	80.863899	83.898201	73.222206	73.144539	69.995171	68.136795
SNP104	1	23506533	75.132561	77.399483	72.018631	68.160774	66.191887	68.478615	74.517937	78.94117	80.694931	80.936867	84.111572	73.694099	73.384605	69.909531	68.173347
SNP105	1	23789082	68.111565	77.072433	79.040558	72.670807	70.899406	72.607918	79.382881	76.647881	82.229424	78.68383	84.559418	77.909859	79.300125	71.944214	69.229843
SNP106	1	23910321	70.311104	74.914986	82.111671	72.885468	72.081573	73.797615	79.709534	78.803551	82.314232	77.411217	84.301826	75.171112	78.552826	71.272316	67.378708
SNP107	1	24164440	68.0858	71.505409	79.960449	74.034393	71.909737	73.183037	79.860245	74.117615	81.531738	73.096504	74.361107	75.864792	77.499184	69.104462	69.072685
SNP108	1	24210679	67.771439	72.118362	79.5746	74.034325	72.029373	73.132599	78.632645	75.046677	82.101959	73.715027	74.170563	75.589134	76.298485	69.458206	68.762184
SNP109	1	24266595	68.40934	72.591209	78.993774	72.695099	71.091713	72.507011	76.793533	76.684372	83.026543	74.345314	74.927223	74.897354	75.745621	70.179939	68.373413
SNP110	1	24330581	68.203621	72.057289	77.989632	70.993324	69.623108	71.333046	76.237297	77.247108	84.132256	74.209427	75.020752	72.43013	76.690216	71.07235	68.361649
SNP111	1	24469956	62.418636	68.727501	76.268318	67.336655	64.725822	67.549332	76.718056	71.370483	82.629356	66.644943	70.257698	61.251537	74.692558	70.360382	68.038254
SNP112	1	24526161	63.659351	68.836723	76.083862	65.752144	62.353664	66.515305	75.116356	71.11776	80.585388	62.430168	69.520477	58.48914	71.634979	69.53524	66.816475
SNP113	1	24704450	70.830101	71.058571	75.354286	64.369743	64.102959	67.718201	74.021217	71.662201	77.588829	59.880219	73.095985	61.413208	72.648552	71.311005	65.92852
SNP114	1	25015114	72.796494	77.031578	76.568748	71.064194	69.999741	72.651024	78.891754	75.557404	81.955299	82.828712	85.252106	71.124107	75.338165	71.402985	65.614265
SNP115	1	25339104	52.589981	64.240875	81.06031	70.416512	72.930496	73.470612	78.166321	60.840595	71.084656	62.742577	71.832321	64.884407	63.659508	64.436989	68.990356
SNP116	1	25646945	73.839073	73.838623	73.547516	66.160202	68.722809	68.099174	78.213554	66.656403	71.132057	65.741798	75.470428	81.60675	67.287239	67.577873	66.374298
SNP117	1	25845165	69.447876	68.550476	73.196426	67.734978	66.63562	68.510262	74.554596	67.77285	68.300819	61.535721	75.382362	79.396545	75.066772	64.837257	67.341644
SNP118	1	25966532	72.43824	68.229919	71.212509	66.592026	63.272217	68.843079	73.942139	64.607765	66.937492	58.582619	75.540573	72.305763	74.826416	63.241333	67.781967
SNP119	1	26161879	71.454033	73.985313	72.366226	66.359055	64.388367	68.765244	74.190186	73.227119	75.201553	72.111412	78.796043	78.515656	74.628654	70.406937	69.339638
SNP120	1	26280903	71.205666	76.855232	69.490349	66.545753	65.134552	68.805031	75.209816	74.828552	77.15789	73.146263	80.258377	80.426895	76.573219	71.512138	68.138115
SNP121	1	26337510	67.749649	75.837341	67.868103	66.12059	64.937347	68.246155	74.432686	74.706772	75.411125	70.608101	78.350594	80.25235	76.857758	71.242325	68.894684
SNP122	1	26352498	66.779472	75.417	67.608833	66.022537	64.864899	68.099945	74.122894	74.761711	74.916328	70.061371	77.596626	80.281586	76.803299	71.110527	69.067482
SNP123	1	26532746	67.948593	70.012444	72.703674	68.899406	67.405479	69.840637	73.886101	74.323418	75.994347	66.558289	68.731506	80.411293	75.255455	70.577095	69.684402
SNP124	1	26819046	74.029823	73.789658	78.576691	72.540512	73.048157	73.051842	80.498459	76.773247	80.497856	70.597588	76.494934	79.346375	76.461548	70.72464	67.386734
SNP125	1	27439342	72.407524	72.407509	70.530739	66.915176	66.27475	66.801117	75.298584	71.333153	77.573448	69.697754	76.981895	73.269859	75.437706	71.634987	68.127342
SNP126	1	27790038	78.944962	74.779839	80.982056	72.494484	72.112877	73.198776	78.85598	78.088882	82.19075	80.755569	83.493187	80.999512	78.706696	70.000641	68.675346
SNP127	1	27873526	77.124168	73.676872	79.761971	72.078178	71.644653	73.178513	77.712196	77.986511	81.089073	80.390221	82.74334	80.944801	79.043365	69.9048	69.642853
SNP128	1	27931440	74.046028	73.44838	78.834549	72.31459	70.687027	72.71019	78.04847	76.791	80.855385	78.739578	81.861092	79.476753	78.576424	70.196716	69.878296
SNP129	1	28075584	72.25135	75.055077	80.449883	73.651993	70.988243	72.154808	78.399841	74.507805	80.263023	76.731606	79.872986	75.908073	75.626152	70.063202	65.730736
SNP130	1	28188852	75.28508	72.52372	78.816689	72.384758	72.027184	73.577286	79.830917	76.99334	79.830902	78.70591	80.142952	79.059639	76.362984	71.479019	67.869316
SNP131	1	28340580	70.605911	74.543846	80.670067	71.672241	73.82222	74.353661	78.816696	71.74929	78.515945	72.564301	80.173172	78.355598	73.324615	68.741234	66.176659
SNP132	1	28792900	74.479156	74.883736	75.840294	72.6642	71.865013	72.449303	80.235909	78.112282	83.162445	78.802063	82.740013	81.951538	75.349678	70.162796	67.357964
SNP133	1	29342190	74.433846	72.320724	68.432388	66.61454	63.565102	68.551857	73.574677	72.608879	80.137398	71.749847	72.449402	77.484505	72.284164	65.349869	64.480461
SNP134	1	29467151	77.592415	72.117584	66.850403	67.11377	62.482349	68.43306	74.5597	76.371681	79.591492	77.194191	72.21476	76.728561	70.633614	69.501884	69.281761
SNP135	1	29582868	72.602921	66.07354	60.840572	62.496624	57.484535	64.56916	69.52961	69.84594	77.990906	72.116951	66.649887	74.15419	70.691261	67.923904	70.0578
SNP136	1	30490508	35.670353	29.093946	36.675278	43.79731	41.014118	41.687302	42.86565	23.235374	37.76899	22.09214	26.483763	44.30986	44.34457	47.7402	62.288139
SNP137	1	30946575	23.844406	47.302803	62.354626	61.374432	62.195065	63.777847	67.401382	33.805485	42.09647	34.002953	51.216312	64.516617	59.478134	61.087914	64.759621
SNP138	1	30997768	27.756086	52.139271	66.013809	64.690308	64.250626	65.98217	70.579193	38.285	44.913269	38.718498	56.367153	68.272049	60.279011	63.195099	65.564308
SNP139	1	31067347	34.884106	58.432198	70.937202	68.018089	66.651001	68.684441	74.14534	45.279587	49.101898	47.209042	63.574509	74.633316	62.652378	67.195496	67.085091
SNP140	1	31101268	39.563335	61.297607	73.10186	69.032814	67.512856	69.741623	75.528587	49.264874	51.351967	52.135704	67.094254	77.497673	64.22644	68.885902	67.939941
SNP141	1	31485480	71.291443	72.760368	70.375832	67.347656	66.435211	67.9356	73.659508	71.894691	74.240898	63.383381	76.373001	78.584953	74.110359	69.268593	65.960938
SNP142	1	31697751	77.556412	76.619331	64.727776	65.151634	66.276352	68.637886	69.089157	73.320274	78.801384	64.70359	73.009583	71.499168	75.259499	72.630928	68.412788
SNP143	1	31842789	69.488831	74.994186	64.151405	68.275017	70.554604	71.560005	66.78083	69.416908	79.791206	68.894516	76.100136	66.003914	72.811287	67.56559	67.041206
SNP144	1	31892560	66.73024	74.543137	64.955467	69.159782	70.493111	72.602516	68.230667	69.819511	80.269043	72.931564	77.401352	64.042892	71.103065	68.262444	68.238869
SNP145	1	31975215	65.852333	75.904007	67.925385	70.13723	70.148102	72.466515	71.445457	70.808838	79.955612	78.396698	79.580612	63.486774	69.411079	70.256927	67.884338
SNP146	1	32295318	68.538696	76.75679	79.606194	72.372665	71.550285	71.923996	78.945465	76.094627	78.427856	77.975212	84.607155	79.607681	75.810036	72.655876	70.067726
SNP147	1	32590466	79.26474	75.163475	79.403961	72.875168	71.276718	73.906624	79.182915	78.234169	81.219284	79.952576	83.451096	78.986824	77.348534	72.386124	67.227592
SNP148	1	32868749	73.077309	72.630478	78.362572	70.973503	69.358162	72.09684	78.541328	74.45977	81.745674	79.191948	81.28698	77.101791	77.650116	70.319145	67.618111
SNP149	1	33068817	76.935127	74.493004	73.824722	70.391045	66.116089	70.100555	75.321243	76.026222	81.62809	76.003952	80.80703	78.085831	75.582718	71.688423	67.274818
SNP150	1	33272837	78.276184	73.72966	75.088928	70.416092	66.16021	70.404732	76.08696	77.108139	83.366127	79.464737	84.911041	79.171303	79.059334	73.424362	69.235909
SNP151	1	33479309	69.901703	75.829346	75.196754	68.747772	66.117508	69.575775	78.678513	76.086037	77.89019	80.246002	81.116158	72.009209	75.734688	69.628822	67.308578
SNP152	1	33697615	58.376644	73.880028	68.357849	64.277023	59.829487	64.134293	72.666481	62.864883	73.766113	68.584389	80.090584	60.339123	71.831177	71.659081	69.033943
SNP153	1	33720724	58.755863	74.011604	67.506493	63.659988	58.977959	63.642593	72.121628	62.283344	73.608696	68.202011	79.884186	59.220398	71.532196	71.891853	68.973412
SNP154	1	33874734	56.617828	74.852791	64.476578	59.861961	55.394928	59.645443	69.349091	57.131229	68.290352	70.713829	79.077309	53.626976	67.809227	70.669708	64.756287
SNP155	1	33996203	46.403347	73.376495	57.563614	54.567413	51.278225	54.520672	64.678749	47.941502	61.257423	63.920273	75.559998	49.685978	61.757427	67.717087	64.491112
SNP156	1	34083673	43.390057	67.221199	51.19389	50.545547	46.762409	50.159435	59.319122	39.351643	54.771152	53.328945	68.002151	44.65522	55.210609	62.549007	64.382439
SNP157	1	34216481	35.515648	57.239475	41.376549	44.664837	40.504047	42.532249	49.203667	25.879148	44.137871	36.033562	52.93177	37.904907	43.836449	47.518402	59.724232
SNP158	1	34666533	51.963036	40.523354	28.95545	37.232697	33.256546	31.716921	41.544891	16.992819	29.952244	19.798386	22.410648	36.138416	27.930197	46.086773	49.901199
SNP159	1	35024385	30.81208	34.366245	39.220684	44.535351	39.647156	42.230972	50.718731	31.634659	40.757755	26.049305	23.802176	44.814556	43.199711	49.49321	56.36805
SNP160	1	35227224	50.150116	44.809692	51.715858	52.34222	47.595615	52.576801	57.557716	54.808365	55.523827	47.48653	38.085148	56.959366	61.343281	64.626663	62.211868
